br_exp_ID,br_ID,util_name,billing_period,payment_amount,payment_date
5982,13,Waste Management,2025-01,84.97,2025-01-28
5983,14,Rent,2025-01,6447.88,2025-01-28
5984,14,Electricity,2025-01,796.13,2025-01-28
5985,14,Water,2025-01,109.17,2025-01-28
5986,14,Internet,2025-01,249.56,2025-01-28
5987,14,Maintenance,2025-01,539.80,2025-01-28
5988,14,Waste Management,2025-01,141.00,2025-01-28
5989,15,Rent,2025-01,6089.67,2025-01-28
5990,15,Electricity,2025-01,837.00,2025-01-28
5991,15,Water,2025-01,118.24,2025-01-28
5992,15,Internet,2025-01,249.56,2025-01-28
5993,15,Maintenance,2025-01,658.19,2025-01-28
5994,15,Waste Management,2025-01,141.47,2025-01-28
5995,16,Rent,2025-01,8716.58,2025-01-28
5996,16,Electricity,2025-01,1061.69,2025-01-28
5997,16,Water,2025-01,142.04,2025-01-28
5998,16,Internet,2025-01,249.56,2025-01-28
5999,16,Maintenance,2025-01,931.84,2025-01-28
6000,16,Waste Management,2025-01,188.67,2025-01-28
6001,17,Rent,2025-01,8358.37,2025-01-28
6002,17,Electricity,2025-01,1005.61,2025-01-28
6003,17,Water,2025-01,142.01,2025-01-28
6004,17,Internet,2025-01,249.56,2025-01-28
6005,17,Maintenance,2025-01,915.18,2025-01-28
6006,17,Waste Management,2025-01,179.33,2025-01-28
6007,1,Rent,2025-02,15462.98,2025-02-28
6008,1,Electricity,2025-02,1942.63,2025-02-28
6009,1,Water,2025-02,287.45,2025-02-28
6010,1,Internet,2025-02,249.56,2025-02-28
6011,1,Maintenance,2025-02,1531.36,2025-02-28
6012,1,Waste Management,2025-02,349.13,2025-02-28
6013,2,Rent,2025-02,11880.82,2025-02-28
6014,2,Electricity,2025-02,1548.57,2025-02-28
6015,2,Water,2025-02,227.89,2025-02-28
6016,2,Internet,2025-02,249.56,2025-02-28
6017,2,Maintenance,2025-02,1308.68,2025-02-28
6018,2,Waste Management,2025-02,254.36,2025-02-28
6019,3,Rent,2025-02,9850.93,2025-02-28
6020,3,Electricity,2025-02,1304.30,2025-02-28
6021,3,Water,2025-02,169.72,2025-02-28
6022,3,Internet,2025-02,249.56,2025-02-28
6023,3,Maintenance,2025-02,1082.96,2025-02-28
6024,3,Waste Management,2025-02,216.38,2025-02-28
6025,4,Rent,2025-02,8000.15,2025-02-28
6026,4,Electricity,2025-02,1069.88,2025-02-28
6027,4,Water,2025-02,132.50,2025-02-28
6028,4,Internet,2025-02,249.56,2025-02-28
6029,4,Maintenance,2025-02,782.96,2025-02-28
6030,4,Waste Management,2025-02,168.62,2025-02-28
6031,5,Rent,2025-02,6209.07,2025-02-28
6032,5,Electricity,2025-02,831.17,2025-02-28
6033,5,Water,2025-02,99.85,2025-02-28
6034,5,Internet,2025-02,249.56,2025-02-28
6035,5,Maintenance,2025-02,458.51,2025-02-28
6036,5,Waste Management,2025-02,134.57,2025-02-28
6037,6,Rent,2025-02,8179.26,2025-02-28
6038,6,Electricity,2025-02,1026.35,2025-02-28
6039,6,Water,2025-02,142.51,2025-02-28
6040,6,Internet,2025-02,249.56,2025-02-28
6041,6,Maintenance,2025-02,552.61,2025-02-28
6042,6,Waste Management,2025-02,174.90,2025-02-28
6043,7,Rent,2025-02,7044.91,2025-02-28
6044,7,Electricity,2025-02,925.34,2025-02-28
6045,7,Water,2025-02,126.22,2025-02-28
6046,7,Internet,2025-02,249.56,2025-02-28
6047,7,Maintenance,2025-02,483.16,2025-02-28
6048,7,Waste Management,2025-02,162.31,2025-02-28
6049,8,Rent,2025-02,7701.64,2025-02-28
6050,8,Electricity,2025-02,988.66,2025-02-28
6051,8,Water,2025-02,137.29,2025-02-28
6052,8,Internet,2025-02,249.56,2025-02-28
6053,8,Maintenance,2025-02,888.98,2025-02-28
6054,8,Waste Management,2025-02,177.25,2025-02-28
6055,9,Rent,2025-02,6029.96,2025-02-28
6056,9,Electricity,2025-02,806.10,2025-02-28
6057,9,Water,2025-02,112.14,2025-02-28
6058,9,Internet,2025-02,249.56,2025-02-28
6059,9,Maintenance,2025-02,442.82,2025-02-28
6060,9,Waste Management,2025-02,138.22,2025-02-28
6061,10,Rent,2025-02,7462.83,2025-02-28
6062,10,Electricity,2025-02,1041.32,2025-02-28
6063,10,Water,2025-02,136.92,2025-02-28
6064,10,Internet,2025-02,249.56,2025-02-28
6065,10,Maintenance,2025-02,585.65,2025-02-28
6066,10,Waste Management,2025-02,169.29,2025-02-28
6067,11,Rent,2025-02,7164.31,2025-02-28
6068,11,Electricity,2025-02,979.71,2025-02-28
6069,11,Water,2025-02,136.34,2025-02-28
6070,11,Internet,2025-02,249.56,2025-02-28
6071,11,Maintenance,2025-02,755.03,2025-02-28
6072,11,Waste Management,2025-02,153.95,2025-02-28
6073,12,Rent,2025-02,5791.15,2025-02-28
6074,12,Electricity,2025-02,713.69,2025-02-28
6075,12,Water,2025-02,98.30,2025-02-28
6076,12,Internet,2025-02,249.56,2025-02-28
6077,12,Maintenance,2025-02,475.74,2025-02-28
6078,12,Waste Management,2025-02,134.26,2025-02-28
6079,13,Rent,2025-02,3940.37,2025-02-28
6080,13,Electricity,2025-02,520.13,2025-02-28
6081,13,Water,2025-02,72.34,2025-02-28
6082,13,Internet,2025-02,249.56,2025-02-28
6083,13,Maintenance,2025-02,422.08,2025-02-28
6084,13,Waste Management,2025-02,90.71,2025-02-28
6085,14,Rent,2025-02,6447.88,2025-02-28
6086,14,Electricity,2025-02,781.26,2025-02-28
6087,14,Water,2025-02,124.82,2025-02-28
6088,14,Internet,2025-02,249.56,2025-02-28
6089,14,Maintenance,2025-02,722.40,2025-02-28
6090,14,Waste Management,2025-02,143.64,2025-02-28
6091,15,Rent,2025-02,6089.67,2025-02-28
6092,15,Electricity,2025-02,730.27,2025-02-28
6093,15,Water,2025-02,100.57,2025-02-28
6094,15,Internet,2025-02,249.56,2025-02-28
6095,15,Maintenance,2025-02,452.28,2025-02-28
6096,15,Waste Management,2025-02,140.19,2025-02-28
6097,16,Rent,2025-02,8716.58,2025-02-28
6098,16,Electricity,2025-02,1056.86,2025-02-28
6099,16,Water,2025-02,162.40,2025-02-28
6100,16,Internet,2025-02,249.56,2025-02-28
6101,16,Maintenance,2025-02,840.11,2025-02-28
6102,16,Waste Management,2025-02,197.30,2025-02-28
6103,17,Rent,2025-02,8358.37,2025-02-28
6104,17,Electricity,2025-02,1113.86,2025-02-28
6105,17,Water,2025-02,140.26,2025-02-28
6106,17,Internet,2025-02,249.56,2025-02-28
6107,17,Maintenance,2025-02,674.79,2025-02-28
6108,17,Waste Management,2025-02,192.47,2025-02-28
6109,1,Rent,2025-03,15462.98,2025-03-28
6110,1,Electricity,2025-03,2356.05,2025-03-28
6111,1,Water,2025-03,295.43,2025-03-28
6112,1,Internet,2025-03,249.56,2025-03-28
6113,1,Maintenance,2025-03,1404.71,2025-03-28
6114,1,Waste Management,2025-03,332.08,2025-03-28
6115,2,Rent,2025-03,11880.82,2025-03-28
6116,2,Electricity,2025-03,1815.26,2025-03-28
6117,2,Water,2025-03,228.78,2025-03-28
6118,2,Internet,2025-03,249.56,2025-03-28
6119,2,Maintenance,2025-03,1008.87,2025-03-28
6120,2,Waste Management,2025-03,254.68,2025-03-28
6121,3,Rent,2025-03,9850.93,2025-03-28
6122,3,Electricity,2025-03,1457.80,2025-03-28
6123,3,Water,2025-03,180.42,2025-03-28
6124,3,Internet,2025-03,249.56,2025-03-28
6125,3,Maintenance,2025-03,995.88,2025-03-28
6126,3,Waste Management,2025-03,223.72,2025-03-28
6127,4,Rent,2025-03,8000.15,2025-03-28
6128,4,Electricity,2025-03,1220.92,2025-03-28
6129,4,Water,2025-03,155.58,2025-03-28
6130,4,Internet,2025-03,249.56,2025-03-28
6131,4,Maintenance,2025-03,651.25,2025-03-28
6132,4,Waste Management,2025-03,181.66,2025-03-28
6133,5,Rent,2025-03,6209.07,2025-03-28
6134,5,Electricity,2025-03,933.00,2025-03-28
6135,5,Water,2025-03,105.97,2025-03-28
6136,5,Internet,2025-03,249.56,2025-03-28
6137,5,Maintenance,2025-03,436.76,2025-03-28
6138,5,Waste Management,2025-03,134.31,2025-03-28
6139,6,Rent,2025-03,8179.26,2025-03-28
6140,6,Electricity,2025-03,1148.41,2025-03-28
6141,6,Water,2025-03,158.74,2025-03-28
6142,6,Internet,2025-03,249.56,2025-03-28
6143,6,Maintenance,2025-03,824.02,2025-03-28
6144,6,Waste Management,2025-03,176.60,2025-03-28
6145,7,Rent,2025-03,7044.91,2025-03-28
6146,7,Electricity,2025-03,1045.60,2025-03-28
6147,7,Water,2025-03,137.16,2025-03-28
6148,7,Internet,2025-03,249.56,2025-03-28
6149,7,Maintenance,2025-03,732.71,2025-03-28
6150,7,Waste Management,2025-03,152.10,2025-03-28
6151,8,Rent,2025-03,7701.64,2025-03-28
6152,8,Electricity,2025-03,1036.93,2025-03-28
6153,8,Water,2025-03,125.15,2025-03-28
6154,8,Internet,2025-03,249.56,2025-03-28
6155,8,Maintenance,2025-03,858.69,2025-03-28
6156,8,Waste Management,2025-03,167.54,2025-03-28
6157,9,Rent,2025-03,6029.96,2025-03-28
6158,9,Electricity,2025-03,839.84,2025-03-28
6159,9,Water,2025-03,117.66,2025-03-28
6160,9,Internet,2025-03,249.56,2025-03-28
6161,9,Maintenance,2025-03,427.98,2025-03-28
6162,9,Waste Management,2025-03,138.58,2025-03-28
6163,10,Rent,2025-03,7462.83,2025-03-28
6164,10,Electricity,2025-03,999.77,2025-03-28
6165,10,Water,2025-03,138.11,2025-03-28
6166,10,Internet,2025-03,249.56,2025-03-28
6167,10,Maintenance,2025-03,519.41,2025-03-28
6168,10,Waste Management,2025-03,165.67,2025-03-28
6169,11,Rent,2025-03,7164.31,2025-03-28
6170,11,Electricity,2025-03,994.51,2025-03-28
6171,11,Water,2025-03,128.76,2025-03-28
6172,11,Internet,2025-03,249.56,2025-03-28
6173,11,Maintenance,2025-03,704.28,2025-03-28
6174,11,Waste Management,2025-03,161.14,2025-03-28
6175,12,Rent,2025-03,5791.15,2025-03-28
6176,12,Electricity,2025-03,795.27,2025-03-28
6177,12,Water,2025-03,100.06,2025-03-28
6178,12,Internet,2025-03,249.56,2025-03-28
6179,12,Maintenance,2025-03,638.58,2025-03-28
6180,12,Waste Management,2025-03,127.37,2025-03-28
6181,13,Rent,2025-03,3940.37,2025-03-28
6182,13,Electricity,2025-03,609.69,2025-03-28
6183,13,Water,2025-03,64.52,2025-03-28
6184,13,Internet,2025-03,249.56,2025-03-28
6185,13,Maintenance,2025-03,376.91,2025-03-28
6186,13,Waste Management,2025-03,88.14,2025-03-28
6187,14,Rent,2025-03,6447.88,2025-03-28
6188,14,Electricity,2025-03,911.65,2025-03-28
6189,14,Water,2025-03,110.60,2025-03-28
6190,14,Internet,2025-03,249.56,2025-03-28
6191,14,Maintenance,2025-03,535.57,2025-03-28
6192,14,Waste Management,2025-03,138.86,2025-03-28
6193,15,Rent,2025-03,6089.67,2025-03-28
6194,15,Electricity,2025-03,855.38,2025-03-28
6195,15,Water,2025-03,110.90,2025-03-28
6196,15,Internet,2025-03,249.56,2025-03-28
6197,15,Maintenance,2025-03,603.02,2025-03-28
6198,15,Waste Management,2025-03,134.80,2025-03-28
6199,16,Rent,2025-03,8716.58,2025-03-28
6200,16,Electricity,2025-03,1216.71,2025-03-28
6201,16,Water,2025-03,166.73,2025-03-28
6202,16,Internet,2025-03,249.56,2025-03-28
6203,16,Maintenance,2025-03,994.71,2025-03-28
6204,16,Waste Management,2025-03,197.51,2025-03-28
6205,17,Rent,2025-03,8358.37,2025-03-28
6206,17,Electricity,2025-03,1171.83,2025-03-28
6207,17,Water,2025-03,139.74,2025-03-28
6208,17,Internet,2025-03,249.56,2025-03-28
6209,17,Maintenance,2025-03,854.89,2025-03-28
6210,17,Waste Management,2025-03,180.97,2025-03-28
6211,1,Rent,2025-04,15462.98,2025-04-28
6212,1,Electricity,2025-04,2126.52,2025-04-28
6213,1,Water,2025-04,258.48,2025-04-28
6214,1,Internet,2025-04,249.56,2025-04-28
6215,1,Maintenance,2025-04,1782.86,2025-04-28
6216,1,Waste Management,2025-04,354.73,2025-04-28
6217,2,Rent,2025-04,11880.82,2025-04-28
6218,2,Electricity,2025-04,1750.77,2025-04-28
6219,2,Water,2025-04,207.05,2025-04-28
6220,2,Internet,2025-04,249.56,2025-04-28
6221,2,Maintenance,2025-04,1193.76,2025-04-28
6222,2,Waste Management,2025-04,269.24,2025-04-28
6223,3,Rent,2025-04,9850.93,2025-04-28
6224,3,Electricity,2025-04,1406.73,2025-04-28
6225,3,Water,2025-04,177.79,2025-04-28
6226,3,Internet,2025-04,249.56,2025-04-28
6227,3,Maintenance,2025-04,1042.20,2025-04-28
6228,3,Waste Management,2025-04,225.30,2025-04-28
6229,4,Rent,2025-04,8000.15,2025-04-28
6230,4,Electricity,2025-04,1213.14,2025-04-28
6231,4,Water,2025-04,135.37,2025-04-28
6232,4,Internet,2025-04,249.56,2025-04-28
6233,4,Maintenance,2025-04,838.69,2025-04-28
6234,4,Waste Management,2025-04,172.18,2025-04-28
6235,5,Rent,2025-04,6209.07,2025-04-28
6236,5,Electricity,2025-04,875.47,2025-04-28
6237,5,Water,2025-04,105.10,2025-04-28
6238,5,Internet,2025-04,249.56,2025-04-28
6239,5,Maintenance,2025-04,519.75,2025-04-28
6240,5,Waste Management,2025-04,138.74,2025-04-28
6241,6,Rent,2025-04,8179.26,2025-04-28
6242,6,Electricity,2025-04,1138.70,2025-04-28
6243,6,Water,2025-04,158.55,2025-04-28
6244,6,Internet,2025-04,249.56,2025-04-28
6245,6,Maintenance,2025-04,674.33,2025-04-28
6246,6,Waste Management,2025-04,181.51,2025-04-28
6247,7,Rent,2025-04,7044.91,2025-04-28
6248,7,Electricity,2025-04,1052.03,2025-04-28
6249,7,Water,2025-04,122.54,2025-04-28
6250,7,Internet,2025-04,249.56,2025-04-28
6251,7,Maintenance,2025-04,480.34,2025-04-28
6252,7,Waste Management,2025-04,149.34,2025-04-28
6253,8,Rent,2025-04,7701.64,2025-04-28
6254,8,Electricity,2025-04,1083.78,2025-04-28
6255,8,Water,2025-04,124.73,2025-04-28
6256,8,Internet,2025-04,249.56,2025-04-28
6257,8,Maintenance,2025-04,891.78,2025-04-28
6258,8,Waste Management,2025-04,174.84,2025-04-28
6259,9,Rent,2025-04,6029.96,2025-04-28
6260,9,Electricity,2025-04,915.94,2025-04-28
6261,9,Water,2025-04,112.89,2025-04-28
6262,9,Internet,2025-04,249.56,2025-04-28
6263,9,Maintenance,2025-04,536.02,2025-04-28
6264,9,Waste Management,2025-04,131.50,2025-04-28
6265,10,Rent,2025-04,7462.83,2025-04-28
6266,10,Electricity,2025-04,1050.31,2025-04-28
6267,10,Water,2025-04,130.06,2025-04-28
6268,10,Internet,2025-04,249.56,2025-04-28
6269,10,Maintenance,2025-04,591.03,2025-04-28
6270,10,Waste Management,2025-04,159.05,2025-04-28
6271,11,Rent,2025-04,7164.31,2025-04-28
6272,11,Electricity,2025-04,1028.04,2025-04-28
6273,11,Water,2025-04,139.79,2025-04-28
6274,11,Internet,2025-04,249.56,2025-04-28
6275,11,Maintenance,2025-04,529.08,2025-04-28
6276,11,Waste Management,2025-04,156.86,2025-04-28
6277,12,Rent,2025-04,5791.15,2025-04-28
6278,12,Electricity,2025-04,908.22,2025-04-28
6279,12,Water,2025-04,103.42,2025-04-28
6280,12,Internet,2025-04,249.56,2025-04-28
6281,12,Maintenance,2025-04,484.99,2025-04-28
6282,12,Waste Management,2025-04,134.11,2025-04-28
6283,13,Rent,2025-04,3940.37,2025-04-28
6284,13,Electricity,2025-04,555.17,2025-04-28
6285,13,Water,2025-04,65.55,2025-04-28
6286,13,Internet,2025-04,249.56,2025-04-28
6287,13,Maintenance,2025-04,281.22,2025-04-28
6288,13,Waste Management,2025-04,88.59,2025-04-28
6289,14,Rent,2025-04,6447.88,2025-04-28
6290,14,Electricity,2025-04,987.80,2025-04-28
6291,14,Water,2025-04,117.91,2025-04-28
6292,14,Internet,2025-04,249.56,2025-04-28
6293,14,Maintenance,2025-04,436.00,2025-04-28
6294,14,Waste Management,2025-04,143.16,2025-04-28
6295,15,Rent,2025-04,6089.67,2025-04-28
6296,15,Electricity,2025-04,934.86,2025-04-28
6297,15,Water,2025-04,103.07,2025-04-28
6298,15,Internet,2025-04,249.56,2025-04-28
6299,15,Maintenance,2025-04,696.05,2025-04-28
6300,15,Waste Management,2025-04,140.94,2025-04-28
6301,16,Rent,2025-04,8716.58,2025-04-28
6302,16,Electricity,2025-04,1319.09,2025-04-28
6303,16,Water,2025-04,146.41,2025-04-28
6304,16,Internet,2025-04,249.56,2025-04-28
6305,16,Maintenance,2025-04,754.50,2025-04-28
6306,16,Waste Management,2025-04,194.68,2025-04-28
6307,17,Rent,2025-04,8358.37,2025-04-28
6308,17,Electricity,2025-04,1205.56,2025-04-28
6309,17,Water,2025-04,141.47,2025-04-28
6310,17,Internet,2025-04,249.56,2025-04-28
6311,17,Maintenance,2025-04,840.43,2025-04-28
6312,17,Waste Management,2025-04,180.42,2025-04-28
6313,1,Rent,2025-05,15462.98,2025-05-28
6314,1,Electricity,2025-05,2256.24,2025-05-28
6315,1,Water,2025-05,303.10,2025-05-28
6316,1,Internet,2025-05,249.56,2025-05-28
6317,1,Maintenance,2025-05,1710.02,2025-05-28
6318,1,Waste Management,2025-05,327.83,2025-05-28
6319,2,Rent,2025-05,11880.82,2025-05-28
6320,2,Electricity,2025-05,1666.54,2025-05-28
6321,2,Water,2025-05,198.36,2025-05-28
6322,2,Internet,2025-05,249.56,2025-05-28
6323,2,Maintenance,2025-05,1130.99,2025-05-28
6324,2,Waste Management,2025-05,264.53,2025-05-28
6325,3,Rent,2025-05,9850.93,2025-05-28
6326,3,Electricity,2025-05,1327.68,2025-05-28
6327,3,Water,2025-05,167.08,2025-05-28
6328,3,Internet,2025-05,249.56,2025-05-28
6329,3,Maintenance,2025-05,719.75,2025-05-28
6330,3,Waste Management,2025-05,218.22,2025-05-28
6331,4,Rent,2025-05,8000.15,2025-05-28
6332,4,Electricity,2025-05,1247.31,2025-05-28
6333,4,Water,2025-05,135.37,2025-05-28
6334,4,Internet,2025-05,249.56,2025-05-28
6335,4,Maintenance,2025-05,673.08,2025-05-28
6336,4,Waste Management,2025-05,182.30,2025-05-28
6337,5,Rent,2025-05,6209.07,2025-05-28
6338,5,Electricity,2025-05,972.33,2025-05-28
6339,5,Water,2025-05,117.55,2025-05-28
6340,5,Internet,2025-05,249.56,2025-05-28
6341,5,Maintenance,2025-05,433.45,2025-05-28
6342,5,Waste Management,2025-05,130.91,2025-05-28
6343,6,Rent,2025-05,8179.26,2025-05-28
6344,6,Electricity,2025-05,1116.11,2025-05-28
6345,6,Water,2025-05,131.73,2025-05-28
6346,6,Internet,2025-05,249.56,2025-05-28
6347,6,Maintenance,2025-05,654.24,2025-05-28
6348,6,Waste Management,2025-05,183.71,2025-05-28
6349,7,Rent,2025-05,7044.91,2025-05-28
6350,7,Electricity,2025-05,955.54,2025-05-28
6351,7,Water,2025-05,135.73,2025-05-28
6352,7,Internet,2025-05,249.56,2025-05-28
6353,7,Maintenance,2025-05,560.05,2025-05-28
6354,7,Waste Management,2025-05,153.76,2025-05-28
6355,8,Rent,2025-05,7701.64,2025-05-28
6356,8,Electricity,2025-05,1093.59,2025-05-28
6357,8,Water,2025-05,127.74,2025-05-28
6358,8,Internet,2025-05,249.56,2025-05-28
6359,8,Maintenance,2025-05,686.33,2025-05-28
6360,8,Waste Management,2025-05,162.42,2025-05-28
6361,9,Rent,2025-05,6029.96,2025-05-28
6362,9,Electricity,2025-05,880.42,2025-05-28
6363,9,Water,2025-05,108.45,2025-05-28
6364,9,Internet,2025-05,249.56,2025-05-28
6365,9,Maintenance,2025-05,523.29,2025-05-28
6366,9,Waste Management,2025-05,137.34,2025-05-28
6367,10,Rent,2025-05,7462.83,2025-05-28
6368,10,Electricity,2025-05,1163.38,2025-05-28
6369,10,Water,2025-05,143.21,2025-05-28
6370,10,Internet,2025-05,249.56,2025-05-28
6371,10,Maintenance,2025-05,699.49,2025-05-28
6372,10,Waste Management,2025-05,162.88,2025-05-28
6373,11,Rent,2025-05,7164.31,2025-05-28
6374,11,Electricity,2025-05,995.66,2025-05-28
6375,11,Water,2025-05,135.40,2025-05-28
6376,11,Internet,2025-05,249.56,2025-05-28
6377,11,Maintenance,2025-05,797.37,2025-05-28
6378,11,Waste Management,2025-05,159.94,2025-05-28
6379,12,Rent,2025-05,5791.15,2025-05-28
6380,12,Electricity,2025-05,906.12,2025-05-28
6381,12,Water,2025-05,96.80,2025-05-28
6382,12,Internet,2025-05,249.56,2025-05-28
6383,12,Maintenance,2025-05,646.56,2025-05-28
6384,12,Waste Management,2025-05,133.11,2025-05-28
6385,13,Rent,2025-05,3940.37,2025-05-28
6386,13,Electricity,2025-05,563.98,2025-05-28
6387,13,Water,2025-05,71.88,2025-05-28
6388,13,Internet,2025-05,249.56,2025-05-28
6389,13,Maintenance,2025-05,342.67,2025-05-28
6390,13,Waste Management,2025-05,88.82,2025-05-28
6391,14,Rent,2025-05,6447.88,2025-05-28
6392,14,Electricity,2025-05,937.82,2025-05-28
6393,14,Water,2025-05,105.79,2025-05-28
6394,14,Internet,2025-05,249.56,2025-05-28
6395,14,Maintenance,2025-05,697.02,2025-05-28
6396,14,Waste Management,2025-05,137.62,2025-05-28
6397,15,Rent,2025-05,6089.67,2025-05-28
6398,15,Electricity,2025-05,940.40,2025-05-28
6399,15,Water,2025-05,106.21,2025-05-28
6400,15,Internet,2025-05,249.56,2025-05-28
6401,15,Maintenance,2025-05,519.83,2025-05-28
6402,15,Waste Management,2025-05,137.15,2025-05-28
6403,16,Rent,2025-05,8716.58,2025-05-28
6404,16,Electricity,2025-05,1189.00,2025-05-28
6405,16,Water,2025-05,160.71,2025-05-28
6406,16,Internet,2025-05,249.56,2025-05-28
6407,16,Maintenance,2025-05,960.10,2025-05-28
6408,16,Waste Management,2025-05,199.40,2025-05-28
6409,17,Rent,2025-05,8358.37,2025-05-28
6410,17,Electricity,2025-05,1287.13,2025-05-28
6411,17,Water,2025-05,160.16,2025-05-28
6412,17,Internet,2025-05,249.56,2025-05-28
6413,17,Maintenance,2025-05,907.41,2025-05-28
6414,17,Waste Management,2025-05,190.87,2025-05-28
6415,1,Rent,2025-06,15462.98,2025-06-28
6416,1,Electricity,2025-06,2372.18,2025-06-28
6417,1,Water,2025-06,261.72,2025-06-28
6418,1,Internet,2025-06,249.56,2025-06-28
6419,1,Maintenance,2025-06,1237.30,2025-06-28
6420,1,Waste Management,2025-06,347.43,2025-06-28
6421,2,Rent,2025-06,11880.82,2025-06-28
6422,2,Electricity,2025-06,1722.31,2025-06-28
6423,2,Water,2025-06,222.72,2025-06-28
6424,2,Internet,2025-06,249.56,2025-06-28
6425,2,Maintenance,2025-06,1075.80,2025-06-28
6426,2,Waste Management,2025-06,259.87,2025-06-28
6427,3,Rent,2025-06,9850.93,2025-06-28
6428,3,Electricity,2025-06,1390.90,2025-06-28
6429,3,Water,2025-06,179.87,2025-06-28
6430,3,Internet,2025-06,249.56,2025-06-28
6431,3,Maintenance,2025-06,1017.19,2025-06-28
6432,3,Waste Management,2025-06,217.31,2025-06-28
6433,4,Rent,2025-06,8000.15,2025-06-28
6434,4,Electricity,2025-06,1134.95,2025-06-28
6435,4,Water,2025-06,135.74,2025-06-28
6436,4,Internet,2025-06,249.56,2025-06-28
6437,4,Maintenance,2025-06,754.94,2025-06-28
6438,4,Waste Management,2025-06,185.91,2025-06-28
6439,5,Rent,2025-06,6209.07,2025-06-28
6440,5,Electricity,2025-06,909.24,2025-06-28
6441,5,Water,2025-06,99.95,2025-06-28
