br_exp_ID,br_ID,util_name,billing_period,payment_amt,payment_date
4768,15,Internet,2024-01,242.29,2024-01-28
4769,15,Maintenance,2024-01,658.43,2024-01-28
4770,15,Waste Management,2024-01,136.41,2024-01-28
4771,16,Rent,2024-01,8462.70,2024-01-28
4772,16,Electricity,2024-01,1024.09,2024-01-28
4773,16,Water,2024-01,149.24,2024-01-28
4774,16,Internet,2024-01,242.29,2024-01-28
4775,16,Maintenance,2024-01,819.29,2024-01-28
4776,16,Waste Management,2024-01,190.00,2024-01-28
4777,17,Rent,2024-01,8114.92,2024-01-28
4778,17,Electricity,2024-01,1080.76,2024-01-28
4779,17,Water,2024-01,146.52,2024-01-28
4780,17,Internet,2024-01,242.29,2024-01-28
4781,17,Maintenance,2024-01,552.66,2024-01-28
4782,17,Waste Management,2024-01,178.76,2024-01-28
4783,1,Rent,2024-02,15012.60,2024-02-28
4784,1,Electricity,2024-02,1881.12,2024-02-28
4785,1,Water,2024-02,263.07,2024-02-28
4786,1,Internet,2024-02,242.29,2024-02-28
4787,1,Maintenance,2024-02,1439.68,2024-02-28
4788,1,Waste Management,2024-02,345.05,2024-02-28
4789,2,Rent,2024-02,11534.78,2024-02-28
4790,2,Electricity,2024-02,1429.55,2024-02-28
4791,2,Water,2024-02,204.16,2024-02-28
4792,2,Internet,2024-02,242.29,2024-02-28
4793,2,Maintenance,2024-02,1316.78,2024-02-28
4794,2,Waste Management,2024-02,261.61,2024-02-28
4795,3,Rent,2024-02,9564.01,2024-02-28
4796,3,Electricity,2024-02,1213.94,2024-02-28
4797,3,Water,2024-02,166.53,2024-02-28
4798,3,Internet,2024-02,242.29,2024-02-28
4799,3,Maintenance,2024-02,652.87,2024-02-28
4800,3,Waste Management,2024-02,215.46,2024-02-28
4801,4,Rent,2024-02,7767.14,2024-02-28
4802,4,Electricity,2024-02,929.47,2024-02-28
4803,4,Water,2024-02,132.31,2024-02-28
4804,4,Internet,2024-02,242.29,2024-02-28
4805,4,Maintenance,2024-02,757.22,2024-02-28
4806,4,Waste Management,2024-02,165.10,2024-02-28
4807,5,Rent,2024-02,6028.23,2024-02-28
4808,5,Electricity,2024-02,721.93,2024-02-28
4809,5,Water,2024-02,104.27,2024-02-28
4810,5,Internet,2024-02,242.29,2024-02-28
4811,5,Maintenance,2024-02,690.06,2024-02-28
4812,5,Waste Management,2024-02,131.26,2024-02-28
4813,6,Rent,2024-02,7941.03,2024-02-28
4814,6,Electricity,2024-02,1048.45,2024-02-28
4815,6,Water,2024-02,151.94,2024-02-28
4816,6,Internet,2024-02,242.29,2024-02-28
4817,6,Maintenance,2024-02,865.39,2024-02-28
4818,6,Waste Management,2024-02,167.97,2024-02-28
4819,7,Rent,2024-02,6839.72,2024-02-28
4820,7,Electricity,2024-02,954.96,2024-02-28
4821,7,Water,2024-02,114.36,2024-02-28
4822,7,Internet,2024-02,242.29,2024-02-28
4823,7,Maintenance,2024-02,644.83,2024-02-28
4824,7,Waste Management,2024-02,145.78,2024-02-28
4825,8,Rent,2024-02,7477.32,2024-02-28
4826,8,Electricity,2024-02,921.82,2024-02-28
4827,8,Water,2024-02,146.03,2024-02-28
4828,8,Internet,2024-02,242.29,2024-02-28
4829,8,Maintenance,2024-02,530.39,2024-02-28
4830,8,Waste Management,2024-02,161.18,2024-02-28
4831,9,Rent,2024-02,5854.33,2024-02-28
4832,9,Electricity,2024-02,762.60,2024-02-28
4833,9,Water,2024-02,97.31,2024-02-28
4834,9,Internet,2024-02,242.29,2024-02-28
4835,9,Maintenance,2024-02,395.31,2024-02-28
4836,9,Waste Management,2024-02,127.98,2024-02-28
4837,10,Rent,2024-02,7245.46,2024-02-28
4838,10,Electricity,2024-02,927.33,2024-02-28
4839,10,Water,2024-02,137.18,2024-02-28
4840,10,Internet,2024-02,242.29,2024-02-28
4841,10,Maintenance,2024-02,758.38,2024-02-28
4842,10,Waste Management,2024-02,160.45,2024-02-28
4843,11,Rent,2024-02,6955.64,2024-02-28
4844,11,Electricity,2024-02,970.03,2024-02-28
4845,11,Water,2024-02,127.77,2024-02-28
4846,11,Internet,2024-02,242.29,2024-02-28
4847,11,Maintenance,2024-02,707.92,2024-02-28
4848,11,Waste Management,2024-02,160.28,2024-02-28
4849,12,Rent,2024-02,5622.48,2024-02-28
4850,12,Electricity,2024-02,770.49,2024-02-28
4851,12,Water,2024-02,98.29,2024-02-28
4852,12,Internet,2024-02,242.29,2024-02-28
4853,12,Maintenance,2024-02,384.79,2024-02-28
4854,12,Waste Management,2024-02,129.79,2024-02-28
4855,13,Rent,2024-02,3825.60,2024-02-28
4856,13,Electricity,2024-02,457.23,2024-02-28
4857,13,Water,2024-02,73.48,2024-02-28
4858,13,Internet,2024-02,242.29,2024-02-28
4859,13,Maintenance,2024-02,413.18,2024-02-28
4860,13,Waste Management,2024-02,83.37,2024-02-28
4861,14,Rent,2024-02,6260.08,2024-02-28
4862,14,Electricity,2024-02,750.03,2024-02-28
4863,14,Water,2024-02,103.44,2024-02-28
4864,14,Internet,2024-02,242.29,2024-02-28
4865,14,Maintenance,2024-02,648.24,2024-02-28
4866,14,Waste Management,2024-02,132.14,2024-02-28
4867,15,Rent,2024-02,5912.30,2024-02-28
4868,15,Electricity,2024-02,747.05,2024-02-28
4869,15,Water,2024-02,112.17,2024-02-28
4870,15,Internet,2024-02,242.29,2024-02-28
4871,15,Maintenance,2024-02,420.88,2024-02-28
4872,15,Waste Management,2024-02,136.94,2024-02-28
4873,16,Rent,2024-02,8462.70,2024-02-28
4874,16,Electricity,2024-02,1065.81,2024-02-28
4875,16,Water,2024-02,152.12,2024-02-28
4876,16,Internet,2024-02,242.29,2024-02-28
4877,16,Maintenance,2024-02,591.58,2024-02-28
4878,16,Waste Management,2024-02,181.17,2024-02-28
4879,17,Rent,2024-02,8114.92,2024-02-28
4880,17,Electricity,2024-02,1010.70,2024-02-28
4881,17,Water,2024-02,144.63,2024-02-28
4882,17,Internet,2024-02,242.29,2024-02-28
4883,17,Maintenance,2024-02,886.18,2024-02-28
4884,17,Waste Management,2024-02,181.73,2024-02-28
4885,1,Rent,2024-03,15012.60,2024-03-28
4886,1,Electricity,2024-03,2048.67,2024-03-28
4887,1,Water,2024-03,281.40,2024-03-28
4888,1,Internet,2024-03,242.29,2024-03-28
4889,1,Maintenance,2024-03,1397.42,2024-03-28
4890,1,Waste Management,2024-03,348.87,2024-03-28
4891,2,Rent,2024-03,11534.78,2024-03-28
4892,2,Electricity,2024-03,1734.61,2024-03-28
4893,2,Water,2024-03,190.04,2024-03-28
4894,2,Internet,2024-03,242.29,2024-03-28
4895,2,Maintenance,2024-03,1241.67,2024-03-28
4896,2,Waste Management,2024-03,264.62,2024-03-28
4897,3,Rent,2024-03,9564.01,2024-03-28
4898,3,Electricity,2024-03,1398.99,2024-03-28
4899,3,Water,2024-03,167.90,2024-03-28
4900,3,Internet,2024-03,242.29,2024-03-28
4901,3,Maintenance,2024-03,905.46,2024-03-28
4902,3,Waste Management,2024-03,215.01,2024-03-28
4903,4,Rent,2024-03,7767.14,2024-03-28
4904,4,Electricity,2024-03,1150.80,2024-03-28
4905,4,Water,2024-03,143.27,2024-03-28
4906,4,Internet,2024-03,242.29,2024-03-28
4907,4,Maintenance,2024-03,772.14,2024-03-28
4908,4,Waste Management,2024-03,169.09,2024-03-28
4909,5,Rent,2024-03,6028.23,2024-03-28
4910,5,Electricity,2024-03,920.54,2024-03-28
4911,5,Water,2024-03,114.22,2024-03-28
4912,5,Internet,2024-03,242.29,2024-03-28
4913,5,Maintenance,2024-03,614.83,2024-03-28
4914,5,Waste Management,2024-03,135.32,2024-03-28
4915,6,Rent,2024-03,7941.03,2024-03-28
4916,6,Electricity,2024-03,1090.02,2024-03-28
4917,6,Water,2024-03,128.57,2024-03-28
4918,6,Internet,2024-03,242.29,2024-03-28
4919,6,Maintenance,2024-03,682.71,2024-03-28
4920,6,Waste Management,2024-03,172.13,2024-03-28
4921,7,Rent,2024-03,6839.72,2024-03-28
4922,7,Electricity,2024-03,1060.34,2024-03-28
4923,7,Water,2024-03,124.77,2024-03-28
4924,7,Internet,2024-03,242.29,2024-03-28
4925,7,Maintenance,2024-03,644.02,2024-03-28
4926,7,Waste Management,2024-03,148.86,2024-03-28
4927,8,Rent,2024-03,7477.32,2024-03-28
4928,8,Electricity,2024-03,1170.44,2024-03-28
4929,8,Water,2024-03,134.52,2024-03-28
4930,8,Internet,2024-03,242.29,2024-03-28
4931,8,Maintenance,2024-03,840.40,2024-03-28
4932,8,Waste Management,2024-03,171.71,2024-03-28
4933,9,Rent,2024-03,5854.33,2024-03-28
4934,9,Electricity,2024-03,913.28,2024-03-28
4935,9,Water,2024-03,105.00,2024-03-28
4936,9,Internet,2024-03,242.29,2024-03-28
4937,9,Maintenance,2024-03,432.54,2024-03-28
4938,9,Waste Management,2024-03,135.87,2024-03-28
4939,10,Rent,2024-03,7245.46,2024-03-28
4940,10,Electricity,2024-03,1050.55,2024-03-28
4941,10,Water,2024-03,138.53,2024-03-28
4942,10,Internet,2024-03,242.29,2024-03-28
4943,10,Maintenance,2024-03,783.13,2024-03-28
4944,10,Waste Management,2024-03,165.60,2024-03-28
4945,11,Rent,2024-03,6955.64,2024-03-28
4946,11,Electricity,2024-03,951.96,2024-03-28
4947,11,Water,2024-03,122.39,2024-03-28
4948,11,Internet,2024-03,242.29,2024-03-28
4949,11,Maintenance,2024-03,775.70,2024-03-28
4950,11,Waste Management,2024-03,161.13,2024-03-28
4951,12,Rent,2024-03,5622.48,2024-03-28
4952,12,Electricity,2024-03,771.58,2024-03-28
4953,12,Water,2024-03,101.21,2024-03-28
4954,12,Internet,2024-03,242.29,2024-03-28
4955,12,Maintenance,2024-03,511.12,2024-03-28
4956,12,Waste Management,2024-03,121.10,2024-03-28
4957,13,Rent,2024-03,3825.60,2024-03-28
4958,13,Electricity,2024-03,526.70,2024-03-28
4959,13,Water,2024-03,68.16,2024-03-28
4960,13,Internet,2024-03,242.29,2024-03-28
4961,13,Maintenance,2024-03,418.38,2024-03-28
4962,13,Waste Management,2024-03,89.02,2024-03-28
4963,14,Rent,2024-03,6260.08,2024-03-28
4964,14,Electricity,2024-03,944.84,2024-03-28
4965,14,Water,2024-03,106.86,2024-03-28
4966,14,Internet,2024-03,242.29,2024-03-28
4967,14,Maintenance,2024-03,544.66,2024-03-28
4968,14,Waste Management,2024-03,145.35,2024-03-28
4969,15,Rent,2024-03,5912.30,2024-03-28
4970,15,Electricity,2024-03,911.09,2024-03-28
4971,15,Water,2024-03,114.07,2024-03-28
4972,15,Internet,2024-03,242.29,2024-03-28
4973,15,Maintenance,2024-03,504.81,2024-03-28
4974,15,Waste Management,2024-03,125.19,2024-03-28
4975,16,Rent,2024-03,8462.70,2024-03-28
4976,16,Electricity,2024-03,1142.25,2024-03-28
4977,16,Water,2024-03,165.35,2024-03-28
4978,16,Internet,2024-03,242.29,2024-03-28
4979,16,Maintenance,2024-03,694.33,2024-03-28
4980,16,Waste Management,2024-03,178.59,2024-03-28
4981,17,Rent,2024-03,8114.92,2024-03-28
4982,17,Electricity,2024-03,1268.04,2024-03-28
4983,17,Water,2024-03,130.43,2024-03-28
4984,17,Internet,2024-03,242.29,2024-03-28
4985,17,Maintenance,2024-03,688.19,2024-03-28
4986,17,Waste Management,2024-03,185.22,2024-03-28
4987,1,Rent,2024-04,15012.60,2024-04-28
4988,1,Electricity,2024-04,2346.21,2024-04-28
4989,1,Water,2024-04,277.98,2024-04-28
4990,1,Internet,2024-04,242.29,2024-04-28
4991,1,Maintenance,2024-04,1723.69,2024-04-28
4992,1,Waste Management,2024-04,321.68,2024-04-28
4993,2,Rent,2024-04,11534.78,2024-04-28
4994,2,Electricity,2024-04,1632.96,2024-04-28
4995,2,Water,2024-04,203.10,2024-04-28
4996,2,Internet,2024-04,242.29,2024-04-28
4997,2,Maintenance,2024-04,1158.81,2024-04-28
4998,2,Waste Management,2024-04,254.02,2024-04-28
4999,3,Rent,2024-04,9564.01,2024-04-28
5000,3,Electricity,2024-04,1341.11,2024-04-28
5001,3,Water,2024-04,186.21,2024-04-28
5002,3,Internet,2024-04,242.29,2024-04-28
5003,3,Maintenance,2024-04,642.47,2024-04-28
5004,3,Waste Management,2024-04,205.43,2024-04-28
5005,4,Rent,2024-04,7767.14,2024-04-28
5006,4,Electricity,2024-04,1142.73,2024-04-28
5007,4,Water,2024-04,144.37,2024-04-28
5008,4,Internet,2024-04,242.29,2024-04-28
5009,4,Maintenance,2024-04,583.37,2024-04-28
5010,4,Waste Management,2024-04,179.45,2024-04-28
5011,5,Rent,2024-04,6028.23,2024-04-28
5012,5,Electricity,2024-04,824.39,2024-04-28
5013,5,Water,2024-04,107.74,2024-04-28
5014,5,Internet,2024-04,242.29,2024-04-28
5015,5,Maintenance,2024-04,484.25,2024-04-28
5016,5,Waste Management,2024-04,137.07,2024-04-28
5017,6,Rent,2024-04,7941.03,2024-04-28
5018,6,Electricity,2024-04,1207.85,2024-04-28
5019,6,Water,2024-04,130.21,2024-04-28
5020,6,Internet,2024-04,242.29,2024-04-28
5021,6,Maintenance,2024-04,673.57,2024-04-28
5022,6,Waste Management,2024-04,184.20,2024-04-28
5023,7,Rent,2024-04,6839.72,2024-04-28
5024,7,Electricity,2024-04,1072.31,2024-04-28
5025,7,Water,2024-04,111.81,2024-04-28
5026,7,Internet,2024-04,242.29,2024-04-28
5027,7,Maintenance,2024-04,635.99,2024-04-28
5028,7,Waste Management,2024-04,153.29,2024-04-28
5029,8,Rent,2024-04,7477.32,2024-04-28
5030,8,Electricity,2024-04,1053.79,2024-04-28
5031,8,Water,2024-04,128.50,2024-04-28
5032,8,Internet,2024-04,242.29,2024-04-28
5033,8,Maintenance,2024-04,572.89,2024-04-28
5034,8,Waste Management,2024-04,158.87,2024-04-28
5035,9,Rent,2024-04,5854.33,2024-04-28
5036,9,Electricity,2024-04,893.49,2024-04-28
5037,9,Water,2024-04,106.79,2024-04-28
5038,9,Internet,2024-04,242.29,2024-04-28
5039,9,Maintenance,2024-04,583.51,2024-04-28
5040,9,Waste Management,2024-04,129.39,2024-04-28
5041,10,Rent,2024-04,7245.46,2024-04-28
5042,10,Electricity,2024-04,980.95,2024-04-28
5043,10,Water,2024-04,119.17,2024-04-28
5044,10,Internet,2024-04,242.29,2024-04-28
5045,10,Maintenance,2024-04,761.62,2024-04-28
5046,10,Waste Management,2024-04,159.34,2024-04-28
5047,11,Rent,2024-04,6955.64,2024-04-28
5048,11,Electricity,2024-04,1087.24,2024-04-28
5049,11,Water,2024-04,123.37,2024-04-28
5050,11,Internet,2024-04,242.29,2024-04-28
5051,11,Maintenance,2024-04,501.51,2024-04-28
5052,11,Waste Management,2024-04,157.64,2024-04-28
5053,12,Rent,2024-04,5622.48,2024-04-28
5054,12,Electricity,2024-04,807.09,2024-04-28
5055,12,Water,2024-04,99.19,2024-04-28
5056,12,Internet,2024-04,242.29,2024-04-28
5057,12,Maintenance,2024-04,622.92,2024-04-28
5058,12,Waste Management,2024-04,126.66,2024-04-28
5059,13,Rent,2024-04,3825.60,2024-04-28
5060,13,Electricity,2024-04,564.05,2024-04-28
5061,13,Water,2024-04,73.17,2024-04-28
5062,13,Internet,2024-04,242.29,2024-04-28
5063,13,Maintenance,2024-04,281.30,2024-04-28
5064,13,Waste Management,2024-04,82.75,2024-04-28
5065,14,Rent,2024-04,6260.08,2024-04-28
5066,14,Electricity,2024-04,857.99,2024-04-28
5067,14,Water,2024-04,112.23,2024-04-28
5068,14,Internet,2024-04,242.29,2024-04-28
5069,14,Maintenance,2024-04,594.77,2024-04-28
5070,14,Waste Management,2024-04,139.33,2024-04-28
5071,15,Rent,2024-04,5912.30,2024-04-28
5072,15,Electricity,2024-04,896.89,2024-04-28
5073,15,Water,2024-04,97.74,2024-04-28
5074,15,Internet,2024-04,242.29,2024-04-28
5075,15,Maintenance,2024-04,569.29,2024-04-28
5076,15,Waste Management,2024-04,127.29,2024-04-28
5077,16,Rent,2024-04,8462.70,2024-04-28
5078,16,Electricity,2024-04,1241.82,2024-04-28
5079,16,Water,2024-04,142.53,2024-04-28
5080,16,Internet,2024-04,242.29,2024-04-28
5081,16,Maintenance,2024-04,588.08,2024-04-28
5082,16,Waste Management,2024-04,188.49,2024-04-28
5083,17,Rent,2024-04,8114.92,2024-04-28
5084,17,Electricity,2024-04,1220.17,2024-04-28
5085,17,Water,2024-04,150.38,2024-04-28
5086,17,Internet,2024-04,242.29,2024-04-28
5087,17,Maintenance,2024-04,791.79,2024-04-28
5088,17,Waste Management,2024-04,177.99,2024-04-28
5089,1,Rent,2024-05,15012.60,2024-05-28
5090,1,Electricity,2024-05,2316.19,2024-05-28
5091,1,Water,2024-05,270.55,2024-05-28
5092,1,Internet,2024-05,242.29,2024-05-28
5093,1,Maintenance,2024-05,1661.32,2024-05-28
5094,1,Waste Management,2024-05,336.76,2024-05-28
5095,2,Rent,2024-05,11534.78,2024-05-28
5096,2,Electricity,2024-05,1562.53,2024-05-28
5097,2,Water,2024-05,209.41,2024-05-28
5098,2,Internet,2024-05,242.29,2024-05-28
5099,2,Maintenance,2024-05,1293.39,2024-05-28
5100,2,Waste Management,2024-05,259.69,2024-05-28
5101,3,Rent,2024-05,9564.01,2024-05-28
5102,3,Electricity,2024-05,1327.07,2024-05-28
5103,3,Water,2024-05,155.31,2024-05-28
5104,3,Internet,2024-05,242.29,2024-05-28
5105,3,Maintenance,2024-05,657.75,2024-05-28
5106,3,Waste Management,2024-05,209.23,2024-05-28
5107,4,Rent,2024-05,7767.14,2024-05-28
5108,4,Electricity,2024-05,1206.96,2024-05-28
5109,4,Water,2024-05,128.39,2024-05-28
5110,4,Internet,2024-05,242.29,2024-05-28
5111,4,Maintenance,2024-05,625.30,2024-05-28
5112,4,Waste Management,2024-05,173.81,2024-05-28
5113,5,Rent,2024-05,6028.23,2024-05-28
5114,5,Electricity,2024-05,826.04,2024-05-28
5115,5,Water,2024-05,106.78,2024-05-28
5116,5,Internet,2024-05,242.29,2024-05-28
5117,5,Maintenance,2024-05,572.76,2024-05-28
5118,5,Waste Management,2024-05,129.28,2024-05-28
5119,6,Rent,2024-05,7941.03,2024-05-28
5120,6,Electricity,2024-05,1081.61,2024-05-28
5121,6,Water,2024-05,130.51,2024-05-28
5122,6,Internet,2024-05,242.29,2024-05-28
5123,6,Maintenance,2024-05,848.59,2024-05-28
5124,6,Waste Management,2024-05,171.51,2024-05-28
5125,7,Rent,2024-05,6839.72,2024-05-28
5126,7,Electricity,2024-05,1030.59,2024-05-28
5127,7,Water,2024-05,117.55,2024-05-28
5128,7,Internet,2024-05,242.29,2024-05-28
5129,7,Maintenance,2024-05,557.19,2024-05-28
5130,7,Waste Management,2024-05,145.85,2024-05-28
5131,8,Rent,2024-05,7477.32,2024-05-28
5132,8,Electricity,2024-05,1107.05,2024-05-28
5133,8,Water,2024-05,134.41,2024-05-28
5134,8,Internet,2024-05,242.29,2024-05-28
5135,8,Maintenance,2024-05,588.77,2024-05-28
5136,8,Waste Management,2024-05,160.97,2024-05-28
5137,9,Rent,2024-05,5854.33,2024-05-28
5138,9,Electricity,2024-05,864.86,2024-05-28
5139,9,Water,2024-05,102.48,2024-05-28
5140,9,Internet,2024-05,242.29,2024-05-28
5141,9,Maintenance,2024-05,572.99,2024-05-28
5142,9,Waste Management,2024-05,131.85,2024-05-28
5143,10,Rent,2024-05,7245.46,2024-05-28
5144,10,Electricity,2024-05,984.23,2024-05-28
5145,10,Water,2024-05,131.92,2024-05-28
5146,10,Internet,2024-05,242.29,2024-05-28
5147,10,Maintenance,2024-05,732.51,2024-05-28
5148,10,Waste Management,2024-05,158.96,2024-05-28
5149,11,Rent,2024-05,6955.64,2024-05-28
5150,11,Electricity,2024-05,1016.47,2024-05-28
5151,11,Water,2024-05,119.37,2024-05-28
5152,11,Internet,2024-05,242.29,2024-05-28
5153,11,Maintenance,2024-05,584.26,2024-05-28
5154,11,Waste Management,2024-05,150.78,2024-05-28
5155,12,Rent,2024-05,5622.48,2024-05-28
5156,12,Electricity,2024-05,786.70,2024-05-28
5157,12,Water,2024-05,103.78,2024-05-28
5158,12,Internet,2024-05,242.29,2024-05-28
5159,12,Maintenance,2024-05,416.54,2024-05-28
5160,12,Waste Management,2024-05,119.64,2024-05-28
5161,13,Rent,2024-05,3825.60,2024-05-28
5162,13,Electricity,2024-05,576.00,2024-05-28
5163,13,Water,2024-05,61.67,2024-05-28
5164,13,Internet,2024-05,242.29,2024-05-28
5165,13,Maintenance,2024-05,277.37,2024-05-28
5166,13,Waste Management,2024-05,80.76,2024-05-28
5167,14,Rent,2024-05,6260.08,2024-05-28
5168,14,Electricity,2024-05,880.38,2024-05-28
5169,14,Water,2024-05,114.90,2024-05-28
5170,14,Internet,2024-05,242.29,2024-05-28
5171,14,Maintenance,2024-05,432.87,2024-05-28
5172,14,Waste Management,2024-05,145.43,2024-05-28
5173,15,Rent,2024-05,5912.30,2024-05-28
5174,15,Electricity,2024-05,805.82,2024-05-28
5175,15,Water,2024-05,114.16,2024-05-28
5176,15,Internet,2024-05,242.29,2024-05-28
5177,15,Maintenance,2024-05,397.25,2024-05-28
5178,15,Waste Management,2024-05,136.39,2024-05-28
5179,16,Rent,2024-05,8462.70,2024-05-28
5180,16,Electricity,2024-05,1199.29,2024-05-28
5181,16,Water,2024-05,147.63,2024-05-28
5182,16,Internet,2024-05,242.29,2024-05-28
5183,16,Maintenance,2024-05,919.40,2024-05-28
5184,16,Waste Management,2024-05,191.00,2024-05-28
5185,17,Rent,2024-05,8114.92,2024-05-28
5186,17,Electricity,2024-05,1162.98,2024-05-28
5187,17,Water,2024-05,134.07,2024-05-28
5188,17,Internet,2024-05,242.29,2024-05-28
5189,17,Maintenance,2024-05,865.38,2024-05-28
5190,17,Waste Management,2024-05,185.32,2024-05-28
5191,1,Rent,2024-06,15012.60,2024-06-28
5192,1,Electricity,2024-06,2180.24,2024-06-28
5193,1,Water,2024-06,265.90,2024-06-28
5194,1,Internet,2024-06,242.29,2024-06-28
5195,1,Maintenance,2024-06,1584.01,2024-06-28
5196,1,Waste Management,2024-06,338.71,2024-06-28
5197,2,Rent,2024-06,11534.78,2024-06-28
5198,2,Electricity,2024-06,1793.39,2024-06-28
5199,2,Water,2024-06,208.48,2024-06-28
5200,2,Internet,2024-06,242.29,2024-06-28
5201,2,Maintenance,2024-06,786.25,2024-06-28
5202,2,Waste Management,2024-06,266.80,2024-06-28
5203,3,Rent,2024-06,9564.01,2024-06-28
5204,3,Electricity,2024-06,1382.66,2024-06-28
5205,3,Water,2024-06,165.34,2024-06-28
5206,3,Internet,2024-06,242.29,2024-06-28
5207,3,Maintenance,2024-06,902.51,2024-06-28
5208,3,Waste Management,2024-06,206.96,2024-06-28
5209,4,Rent,2024-06,7767.14,2024-06-28
5210,4,Electricity,2024-06,1114.95,2024-06-28
5211,4,Water,2024-06,144.93,2024-06-28
5212,4,Internet,2024-06,242.29,2024-06-28
5213,4,Maintenance,2024-06,654.80,2024-06-28
5214,4,Waste Management,2024-06,170.96,2024-06-28
5215,5,Rent,2024-06,6028.23,2024-06-28
5216,5,Electricity,2024-06,877.11,2024-06-28
5217,5,Water,2024-06,108.01,2024-06-28
